Date_Time,Potencia_Medida (MW),Potencia_Planta (MW)
2021-01-01 00:00:00+00:00,0.0,5.0
2021-01-01 01:00:00+00:00,0.0,5.0
2021-01-01 02:00:00+00:00,0.0,5.0
2021-01-01 03:00:00+00:00,0.0,5.0
2021-01-01 04:00:00+00:00,0.0,5.0
2021-01-01 05:00:00+00:00,0.0,5.0
2021-01-01 06:00:00+00:00,0.0,5.0
2021-01-01 07:00:00+00:00,0.0,5.0
2021-01-01 08:00:00+00:00,0.043231,5.0
2021-01-01 09:00:00+00:00,0.43264,5.0
2021-01-01 10:00:00+00:00,1.165536,5.0
2021-01-01 11:00:00+00:00,1.339321,5.0
2021-01-01 12:00:00+00:00,1.554887,5.0
2021-01-01 13:00:00+00:00,2.743825,5.0
2021-01-01 14:00:00+00:00,3.057208,5.0
2021-01-01 15:00:00+00:00,3.73418,5.0
2021-01-01 16:00:00+00:00,3.658586,5.0
2021-01-01 17:00:00+00:00,3.273732,5.0
2021-01-01 18:00:00+00:00,2.483407,5.0
2021-01-01 19:00:00+00:00,1.351133,5.0
2021-01-01 20:00:00+00:00,0.260693,5.0
2021-01-01 21:00:00+00:00,0.0,5.0
2021-01-01 22:00:00+00:00,0.0,5.0
2021-01-01 23:00:00+00:00,0.0,5.0
2021-01-02 00:00:00+00:00,0.0,5.0
2021-01-02 01:00:00+00:00,0.0,5.0
2021-01-02 02:00:00+00:00,0.0,5.0
2021-01-02 03:00:00+00:00,0.0,5.0
2021-01-02 04:00:00+00:00,0.0,5.0
2021-01-02 05:00:00+00:00,0.0,5.0
2021-01-02 06:00:00+00:00,0.0,5.0
2021-01-02 07:00:00+00:00,0.0,5.0
2021-01-02 08:00:00+00:00,0.0,5.0
2021-01-02 09:00:00+00:00,0.213091,5.0
2021-01-02 10:00:00+00:00,1.16641,5.0
2021-01-02 11:00:00+00:00,2.362926,5.0
2021-01-02 12:00:00+00:00,3.258842,5.0
2021-01-02 13:00:00+00:00,3.558116,5.0
2021-01-02 14:00:00+00:00,3.768557,5.0
2021-01-02 15:00:00+00:00,3.868368,5.0
2021-01-02 16:00:00+00:00,3.538979,5.0
2021-01-02 17:00:00+00:00,3.183457,5.0
2021-01-02 18:00:00+00:00,2.418914,5.0
2021-01-02 19:00:00+00:00,1.226269,5.0
2021-01-02 20:00:00+00:00,0.225872,5.0
2021-01-02 21:00:00+00:00,0.0,5.0
2021-01-02 22:00:00+00:00,0.0,5.0
2021-01-02 23:00:00+00:00,0.0,5.0
2021-01-03 00:00:00+00:00,0.0,5.0
2021-01-03 01:00:00+00:00,0.0,5.0
2021-01-03 02:00:00+00:00,0.0,5.0
2021-01-03 03:00:00+00:00,0.0,5.0
2021-01-03 04:00:00+00:00,0.0,5.0
2021-01-03 05:00:00+00:00,0.0,5.0
2021-01-03 06:00:00+00:00,0.0,5.0
2021-01-03 07:00:00+00:00,0.0,5.0
2021-01-03 08:00:00+00:00,0.051807,5.0
2021-01-03 09:00:00+00:00,0.360356,5.0
2021-01-03 10:00:00+00:00,1.023623,5.0
2021-01-03 11:00:00+00:00,2.166879,5.0
2021-01-03 12:00:00+00:00,2.66069,5.0
2021-01-03 13:00:00+00:00,3.145913,5.0
2021-01-03 14:00:00+00:00,3.204401,5.0
2021-01-03 15:00:00+00:00,2.958128,5.0
2021-01-03 16:00:00+00:00,3.268922,5.0
2021-01-03 17:00:00+00:00,2.890415,5.0
2021-01-03 18:00:00+00:00,2.203699,5.0
2021-01-03 19:00:00+00:00,1.352701,5.0
2021-01-03 20:00:00+00:00,0.260688,5.0
2021-01-03 21:00:00+00:00,0.0,5.0
2021-01-03 22:00:00+00:00,0.0,5.0
2021-01-03 23:00:00+00:00,0.0,5.0
2021-01-04 00:00:00+00:00,0.0,5.0
2021-01-04 01:00:00+00:00,0.0,5.0
2021-01-04 02:00:00+00:00,0.0,5.0
2021-01-04 03:00:00+00:00,0.0,5.0
2021-01-04 04:00:00+00:00,0.0,5.0
2021-01-04 05:00:00+00:00,0.0,5.0
2021-01-04 06:00:00+00:00,0.0,5.0
2021-01-04 07:00:00+00:00,0.0,5.0
2021-01-04 08:00:00+00:00,0.025762,5.0
2021-01-04 09:00:00+00:00,0.291277,5.0
2021-01-04 10:00:00+00:00,0.888386,5.0
2021-01-04 11:00:00+00:00,0.0,5.0
2021-01-04 12:00:00+00:00,0.0,5.0
2021-01-04 13:00:00+00:00,0.0,5.0
2021-01-04 14:00:00+00:00,0.0,5.0
2021-01-04 15:00:00+00:00,0.0,5.0
2021-01-04 16:00:00+00:00,0.0,5.0
2021-01-04 17:00:00+00:00,0.0,5.0
2021-01-04 18:00:00+00:00,0.0,5.0
2021-01-04 19:00:00+00:00,0.114795,5.0
2021-01-04 20:00:00+00:00,0.099925,5.0
2021-01-04 21:00:00+00:00,0.0,5.0
2021-01-04 22:00:00+00:00,0.0,5.0
2021-01-04 23:00:00+00:00,0.0,5.0
2021-01-05 00:00:00+00:00,0.0,5.0
2021-01-05 01:00:00+00:00,0.0,5.0
2021-01-05 02:00:00+00:00,0.0,5.0
2021-01-05 03:00:00+00:00,0.0,5.0
2021-01-05 04:00:00+00:00,0.0,5.0
2021-01-05 05:00:00+00:00,0.0,5.0
2021-01-05 06:00:00+00:00,0.0,5.0
2021-01-05 07:00:00+00:00,0.0,5.0
2021-01-05 08:00:00+00:00,0.034749,5.0
2021-01-05 09:00:00+00:00,0.355242,5.0
2021-01-05 10:00:00+00:00,1.331593,5.0
2021-01-05 11:00:00+00:00,0.898186,5.0
2021-01-05 12:00:00+00:00,1.845878,5.0
2021-01-05 13:00:00+00:00,2.118929,5.0
2021-01-05 14:00:00+00:00,2.71082,5.0
2021-01-05 15:00:00+00:00,2.715726,5.0
2021-01-05 16:00:00+00:00,3.088281,5.0
2021-01-05 17:00:00+00:00,2.232472,5.0
2021-01-05 18:00:00+00:00,1.789914,5.0
2021-01-05 19:00:00+00:00,1.208586,5.0
2021-01-05 20:00:00+00:00,0.274062,5.0
2021-01-05 21:00:00+00:00,0.0,5.0
2021-01-05 22:00:00+00:00,0.0,5.0
2021-01-05 23:00:00+00:00,0.0,5.0
2021-01-06 00:00:00+00:00,0.0,5.0
2021-01-06 01:00:00+00:00,0.0,5.0
2021-01-06 02:00:00+00:00,0.0,5.0
2021-01-06 03:00:00+00:00,0.0,5.0
2021-01-06 04:00:00+00:00,0.0,5.0
2021-01-06 05:00:00+00:00,0.0,5.0
2021-01-06 06:00:00+00:00,0.0,5.0
2021-01-06 07:00:00+00:00,0.0,5.0
2021-01-06 08:00:00+00:00,0.033177,5.0
2021-01-06 09:00:00+00:00,0.35618,5.0
2021-01-06 10:00:00+00:00,1.368701,5.0
2021-01-06 11:00:00+00:00,2.312731,5.0
2021-01-06 12:00:00+00:00,3.154953,5.0
2021-01-06 13:00:00+00:00,3.349311,5.0
2021-01-06 14:00:00+00:00,3.123362,5.0
2021-01-06 15:00:00+00:00,3.442016,5.0
2021-01-06 16:00:00+00:00,3.738125,5.0
2021-01-06 17:00:00+00:00,2.32984,5.0
2021-01-06 18:00:00+00:00,1.812004,5.0
2021-01-06 19:00:00+00:00,1.39402,5.0
2021-01-06 20:00:00+00:00,0.306633,5.0
2021-01-06 21:00:00+00:00,0.0,5.0
2021-01-06 22:00:00+00:00,0.0,5.0
2021-01-06 23:00:00+00:00,0.0,5.0
2021-01-07 00:00:00+00:00,0.0,5.0
2021-01-07 01:00:00+00:00,0.0,5.0
2021-01-07 02:00:00+00:00,0.0,5.0
2021-01-07 03:00:00+00:00,0.0,5.0
2021-01-07 04:00:00+00:00,0.0,5.0
2021-01-07 05:00:00+00:00,0.0,5.0
2021-01-07 06:00:00+00:00,0.0,5.0
2021-01-07 07:00:00+00:00,0.0,5.0
2021-01-07 08:00:00+00:00,0.020142,5.0
2021-01-07 09:00:00+00:00,0.480374,5.0
2021-01-07 10:00:00+00:00,0.969061,5.0
2021-01-07 11:00:00+00:00,1.583668,5.0
2021-01-07 12:00:00+00:00,3.007117,5.0
2021-01-07 13:00:00+00:00,3.612315,5.0
2021-01-07 14:00:00+00:00,2.684187,5.0
2021-01-07 15:00:00+00:00,3.07949,5.0
2021-01-07 16:00:00+00:00,2.802593,5.0
2021-01-07 17:00:00+00:00,3.428886,5.0
2021-01-07 18:00:00+00:00,1.517214,5.0
2021-01-07 19:00:00+00:00,1.05337,5.0
2021-01-07 20:00:00+00:00,0.272267,5.0
2021-01-07 21:00:00+00:00,0.0,5.0
2021-01-07 22:00:00+00:00,0.0,5.0
2021-01-07 23:00:00+00:00,0.0,5.0
2021-01-08 00:00:00+00:00,0.0,5.0
2021-01-08 01:00:00+00:00,0.0,5.0
2021-01-08 02:00:00+00:00,0.0,5.0
2021-01-08 03:00:00+00:00,0.0,5.0
2021-01-08 04:00:00+00:00,0.0,5.0
2021-01-08 05:00:00+00:00,0.0,5.0
2021-01-08 06:00:00+00:00,0.0,5.0
2021-01-08 07:00:00+00:00,0.0,5.0
2021-01-08 08:00:00+00:00,0.010592,5.0
2021-01-08 09:00:00+00:00,0.351499,5.0
2021-01-08 10:00:00+00:00,1.038592,5.0
2021-01-08 11:00:00+00:00,2.303917,5.0
2021-01-08 12:00:00+00:00,3.118604,5.0
2021-01-08 13:00:00+00:00,3.384626,5.0
2021-01-08 14:00:00+00:00,3.824209,5.0
2021-01-08 15:00:00+00:00,3.422412,5.0
2021-01-08 16:00:00+00:00,3.20111,5.0
2021-01-08 17:00:00+00:00,2.88969,5.0
